Gene	Expt	x	y	neighbour	neighbour_array	neighbour_prob
Tac2	66	18465.503245796	26489.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Neurod6	33	18465.503245796	26518.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Nos1	34	18465.503245796	26524.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Ndnf	32	18465.503245796	26536.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Synpr	64	18465.503245796	26567.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Ntng1	40	18465.503245796	26580.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Rgs4	55	18465.503245796	26593.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Snca	61	18465.503245796	26618.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Gda	22	18465.503245796	26700.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Lamp5	30	18465.503245796	26724.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Cox6a2	12	18465.503245796	26744.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Nos1	34	18465.503245796	26773.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Gda	22	18465.503245796	26783.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Ndnf	32	18465.503245796	26794.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Plcxd2	44	18465.503245796	26836.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Synpr	64	18465.503245796	26942.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Enpp2	19	18465.503245796	27028.6630169508	86080	[73619, 73466, 71093, 86080]	[0.0, 0.0, 0.0, 1.0]
Ndnf	32	18465.503245796	27061.6630169508	86080	[73619, 73466, 71093, 86080]	[0.0, 0.0, 0.0, 1.0]
Ndnf	32	18465.503245796	27131.6630169508	86080	[73619, 73466, 71093, 86080]	[0.0, 0.0, 0.0, 1.0]
Cadps2	2	18465.503245796	27295.6630169508	86080	[73619, 73466, 71093, 86080]	[0.0, 0.0, 0.0, 1.0]
Serpini1	58	18466.503245796	26647.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Kcnk2	27	18466.503245796	27262.6630169508	86080	[73619, 73466, 71093, 86080]	[0.0, 0.0, 0.0, 1.0]
Penk	43	18466.503245796	27303.6630169508	86080	[73619, 73466, 71093, 86080]	[0.0, 0.0, 0.0, 1.0]
Kit	29	18467.503245796	26021.6630169508	86080	[76242, 76345, 76116, 86080]	[0.0, 0.0, 0.0, 1.0]
Tac2	66	18467.503245796	26102.6630169508	86080	[76242, 76345, 76116, 86080]	[0.0, 0.0, 0.0, 1.0]
Cplx2	13	18467.503245796	26328.6630169508	86080	[74703, 76242, 75020, 86080]	[0.0, 0.0, 0.0, 1.0]
Nos1	34	18467.503245796	26371.6630169508	86080	[73619, 74703, 75020, 86080]	[0.0, 0.0, 0.0, 1.0]
Synpr	64	18467.503245796	26610.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Pnoc	46	18467.503245796	26673.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Neurod6	33	18467.503245796	26821.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Yjefn3	72	18467.503245796	26855.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Pthlh	48	18467.503245796	27100.6630169508	86080	[73619, 73466, 71093, 86080]	[0.0, 0.0, 0.0, 1.0]
Ntng1	40	18468.503245796	26012.6630169508	86080	[76242, 76345, 76116, 86080]	[0.0, 0.0, 0.0, 1.0]
Cnr1	9	18468.503245796	26119.6630169508	86080	[76242, 76345, 76116, 86080]	[0.0, 0.0, 0.0, 1.0]
Crh	15	18468.503245796	26187.6630169508	86080	[76242, 76116, 76345, 86080]	[0.0, 0.0, 0.0, 1.0]
Rab3c	50	18468.503245796	26275.6630169508	86080	[76242, 76116, 75845, 86080]	[0.0, 0.0, 0.0, 1.0]
Rab3c	50	18468.503245796	26280.6630169508	86080	[76242, 76116, 75845, 86080]	[0.0, 0.0, 0.0, 1.0]
Kcnk2	27	18468.503245796	26306.6630169508	86080	[76242, 74703, 76116, 86080]	[0.0, 0.0, 0.0, 1.0]
Pthlh	48	18468.503245796	26314.6630169508	86080	[76242, 74703, 76116, 86080]	[0.0, 0.0, 0.0, 1.0]
Ntng1	40	18468.503245796	26385.6630169508	86080	[73619, 74703, 73466, 86080]	[0.0, 0.0, 0.0, 1.0]
Bcl11b	1	18468.503245796	26509.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Pthlh	48	18468.503245796	26763.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Bcl11b	1	18468.503245796	26884.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Th	67	18468.503245796	26900.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Cck	5	18468.503245796	26927.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Cox6a2	12	18468.503245796	26984.6630169508	86080	[73619, 73466, 71093, 86080]	[0.0, 0.0, 0.0, 1.0]
Crh	15	18468.503245796	27119.6630169508	86080	[73619, 73466, 71093, 86080]	[0.0, 0.0, 0.0, 1.0]
Vip	70	18468.503245796	27163.6630169508	86080	[73619, 73466, 71093, 86080]	[0.0, 0.0, 0.0, 1.0]
Nov	35	18468.503245796	27211.6630169508	86080	[73619, 73466, 71093, 86080]	[0.0, 0.0, 0.0, 1.0]
Cort	11	18468.503245796	27224.6630169508	86080	[73619, 73466, 71093, 86080]	[0.0, 0.0, 0.0, 1.0]
Gda	22	18468.503245796	27235.6630169508	86080	[73619, 73466, 71093, 86080]	[0.0, 0.0, 0.0, 1.0]
Pthlh	48	18469.503245796	26045.6630169508	86080	[76242, 76345, 76116, 86080]	[0.0, 0.0, 0.0, 1.0]
Satb1	56	18469.503245796	26097.6630169508	86080	[76242, 76345, 76116, 86080]	[0.0, 0.0, 0.0, 1.0]
Thsd7a	68	18469.503245796	26165.6630169508	86080	[76242, 76116, 76345, 86080]	[0.0, 0.0, 0.0, 1.0]
Plcxd2	44	18469.503245796	26241.6630169508	86080	[76242, 76116, 76345, 86080]	[0.0, 0.0, 0.0, 1.0]
Cdh13	6	18469.503245796	26247.6630169508	86080	[76242, 76116, 76345, 86080]	[0.0, 0.0, 0.0, 1.0]
Snca	61	18469.503245796	26996.6630169508	86080	[73619, 73466, 71093, 86080]	[0.0, 0.0, 0.0, 1.0]
Kcnk2	27	18469.503245796	27193.6630169508	86080	[73619, 73466, 71093, 86080]	[0.0, 0.0, 0.0, 1.0]
Enpp2	19	18470.503245796	26001.6630169508	86080	[76242, 76345, 76116, 86080]	[0.0, 0.0, 0.0, 1.0]
Cpne5	14	18470.503245796	26034.6630169508	86080	[76242, 76345, 76116, 86080]	[0.0, 0.0, 0.0, 1.0]
Calb1	3	18470.503245796	26040.6630169508	86080	[76242, 76345, 76116, 86080]	[0.0, 0.0, 0.0, 1.0]
Pthlh	48	18470.503245796	26356.6630169508	86080	[74703, 73619, 76242, 86080]	[0.0, 0.0, 0.0, 1.0]
Rasgrf2	51	18470.503245796	26568.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Kcnk2	27	18470.503245796	26620.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Reln	52	18470.503245796	26710.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Npy2r	37	18470.503245796	26888.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Crh	15	18470.503245796	26918.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Nos1	34	18470.503245796	27024.6630169508	86080	[73619, 73466, 71093, 86080]	[0.0, 0.0, 0.0, 1.0]
Thsd7a	68	18470.503245796	27140.6630169508	86080	[73619, 73466, 71093, 86080]	[0.0, 0.0, 0.0, 1.0]
Enpp2	19	18471.503245796	26075.6630169508	86080	[76242, 76345, 76116, 86080]	[0.0, 0.0, 0.0, 1.0]
Cxcl14	18	18471.503245796	26374.6630169508	86080	[73619, 74703, 75020, 86080]	[0.0, 0.0, 0.0, 1.0]
Prkca	47	18471.503245796	26413.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Cryab	17	18471.503245796	26729.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Grin3a	23	18471.503245796	26772.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Ntng1	40	18471.503245796	26810.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Gad1	21	18471.503245796	27008.6630169508	86080	[73619, 73466, 71093, 86080]	[0.0, 0.0, 0.0, 1.0]
Plp1	45	18472.503245796	26354.6630169508	86080	[74703, 73619, 76242, 86080]	[0.0, 0.0, 0.0, 1.0]
Plp1	45	18472.503245796	26436.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Grin3a	23	18472.503245796	26506.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Cox6a2	12	18472.503245796	26562.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Gda	22	18472.503245796	26947.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Cryab	17	18472.503245796	27067.6630169508	86080	[73619, 73466, 71093, 86080]	[0.0, 0.0, 0.0, 1.0]
Reln	52	18472.503245796	27275.6630169508	86080	[73619, 73466, 71093, 86080]	[0.0, 0.0, 0.0, 1.0]
Nov	35	18473.503245796	26155.6630169508	86080	[76242, 76116, 76345, 86080]	[0.0, 0.0, 0.0, 1.0]
Rgs10	53	18473.503245796	26397.6630169508	86080	[73619, 74703, 73466, 86080]	[0.0, 0.0, 0.0, 1.0]
Serpini1	58	18473.503245796	26575.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Hapln1	24	18473.503245796	26647.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Nov	35	18473.503245796	26852.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Ntng1	40	18474.503245796	26179.6630169508	86080	[76242, 76116, 76345, 86080]	[0.0, 0.0, 0.0, 1.0]
Nr4a2	38	18474.503245796	26276.6630169508	86080	[76242, 76116, 75845, 86080]	[0.0, 0.0, 0.0, 1.0]
Cort	11	18474.503245796	26384.6630169508	86080	[73619, 74703, 73466, 86080]	[0.0, 0.0, 0.0, 1.0]
Neurod6	33	18474.503245796	26472.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Serpini1	58	18474.503245796	26488.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Rgs12	54	18474.503245796	26501.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Serpini1	58	18474.503245796	26607.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Sst	63	18474.503245796	26656.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Tac2	66	18474.503245796	26763.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Slc17a8	59	18474.503245796	26878.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Lamp5	30	18474.503245796	26968.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Sst	63	18474.503245796	27143.6630169508	86080	[73619, 73466, 71093, 86080]	[0.0, 0.0, 0.0, 1.0]
Calb2	4	18474.503245796	27166.6630169508	86080	[73619, 73466, 71093, 86080]	[0.0, 0.0, 0.0, 1.0]
Pthlh	48	18474.503245796	27175.6630169508	86080	[73619, 73466, 71093, 86080]	[0.0, 0.0, 0.0, 1.0]
Sst	63	18474.503245796	27259.6630169508	86080	[73619, 73466, 71093, 86080]	[0.0, 0.0, 0.0, 1.0]
Wfs1	71	18474.503245796	27307.6630169508	86080	[73619, 73466, 71093, 86080]	[0.0, 0.0, 0.0, 1.0]
Pcp4	41	18475.503245796	26022.6630169508	86080	[76242, 76345, 76116, 86080]	[0.0, 0.0, 0.0, 1.0]
Slc17a8	59	18475.503245796	26052.6630169508	86080	[76242, 76345, 76116, 86080]	[0.0, 0.0, 0.0, 1.0]
Col25a1	10	18475.503245796	26082.6630169508	86080	[76242, 76345, 76116, 86080]	[0.0, 0.0, 0.0, 1.0]
Rgs4	55	18475.503245796	26097.6630169508	86080	[76242, 76345, 76116, 86080]	[0.0, 0.0, 0.0, 1.0]
Pnoc	46	18475.503245796	26104.6630169508	86080	[76242, 76345, 76116, 86080]	[0.0, 0.0, 0.0, 1.0]
Sst	63	18475.503245796	26200.6630169508	86080	[76242, 76116, 76345, 86080]	[0.0, 0.0, 0.0, 1.0]
Enpp2	19	18475.503245796	26255.6630169508	86080	[76242, 76116, 76345, 86080]	[0.0, 0.0, 0.0, 1.0]
Pthlh	48	18475.503245796	26271.6630169508	86080	[76242, 76116, 75845, 86080]	[0.0, 0.0, 0.0, 1.0]
Tac2	66	18475.503245796	26314.6630169508	86080	[76242, 74703, 76116, 86080]	[0.0, 0.0, 0.0, 1.0]
Pcp4	41	18475.503245796	26347.6630169508	86080	[74703, 76242, 73619, 86080]	[0.0, 0.0, 0.0, 1.0]
Grin3a	23	18475.503245796	26360.6630169508	86080	[74703, 73619, 76242, 86080]	[0.0, 0.0, 0.0, 1.0]
Sst	63	18475.503245796	26377.6630169508	86080	[73619, 74703, 75020, 86080]	[0.0, 0.0, 0.0, 1.0]
Nov	35	18475.503245796	26560.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Plp1	45	18475.503245796	26640.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Synpr	64	18475.503245796	26683.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Rgs10	53	18475.503245796	26694.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Tac2	66	18475.503245796	26748.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Sema3c	57	18475.503245796	26780.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Vip	70	18475.503245796	26787.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Lamp5	30	18475.503245796	26795.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Id2	26	18475.503245796	26846.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Aldoc	0	18475.503245796	26863.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Pthlh	48	18475.503245796	26890.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Vip	70	18475.503245796	26929.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Neurod6	33	18475.503245796	26951.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Cadps2	2	18475.503245796	26957.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Serpini1	58	18475.503245796	26990.6630169508	86080	[73619, 73466, 71093, 86080]	[0.0, 0.0, 0.0, 1.0]
Htr3a	25	18475.503245796	27028.6630169508	86080	[73619, 73466, 71093, 86080]	[0.0, 0.0, 0.0, 1.0]
Cox6a2	12	18475.503245796	27108.6630169508	86080	[73619, 73466, 71093, 86080]	[0.0, 0.0, 0.0, 1.0]
Rab3c	50	18475.503245796	27173.6630169508	86080	[73619, 73466, 71093, 86080]	[0.0, 0.0, 0.0, 1.0]
Thsd7a	68	18475.503245796	27270.6630169508	86080	[73619, 73466, 71093, 86080]	[0.0, 0.0, 0.0, 1.0]
Neurod6	33	18475.503245796	27288.6630169508	86080	[73619, 73466, 71093, 86080]	[0.0, 0.0, 0.0, 1.0]
Nov	35	18476.503245796	26260.6630169508	86080	[76242, 76116, 76345, 86080]	[0.0, 0.0, 0.0, 1.0]
Lamp5	30	18476.503245796	26357.6630169508	86080	[74703, 73619, 76242, 86080]	[0.0, 0.0, 0.0, 1.0]
Rab3c	50	18476.503245796	26457.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Tac2	66	18476.503245796	26530.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Chodl	7	18476.503245796	26595.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Pthlh	48	18476.503245796	26679.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Gda	22	18476.503245796	26917.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Plcxd2	44	18476.503245796	26941.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Kctd12	28	18476.503245796	27295.6630169508	86080	[73619, 73466, 71093, 86080]	[0.0, 0.0, 0.0, 1.0]
Neurod6	33	18477.503245796	26193.6630169508	86080	[76242, 76116, 76345, 86080]	[0.0, 0.0, 0.0, 1.0]
Reln	52	18477.503245796	26284.6630169508	86080	[76242, 76116, 75845, 86080]	[0.0, 0.0, 0.0, 1.0]
Aldoc	0	18477.503245796	26369.6630169508	86080	[73619, 74703, 75020, 86080]	[0.0, 0.0, 0.0, 1.0]
Cck	5	18477.503245796	26601.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Plp1	45	18477.503245796	27313.6630169508	86080	[73619, 73466, 71093, 86080]	[0.0, 0.0, 0.0, 1.0]
Penk	43	18478.503245796	26031.6630169508	86080	[76242, 76345, 76116, 86080]	[0.0, 0.0, 0.0, 1.0]
Wfs1	71	18478.503245796	26123.6630169508	86080	[76242, 76345, 76116, 86080]	[0.0, 0.0, 0.0, 1.0]
Ntng1	40	18478.503245796	26145.6630169508	86080	[76242, 76345, 76116, 86080]	[0.0, 0.0, 0.0, 1.0]
Ntng1	40	18478.503245796	26213.6630169508	86080	[76242, 76116, 76345, 86080]	[0.0, 0.0, 0.0, 1.0]
Htr3a	25	18478.503245796	26278.6630169508	86080	[76242, 76116, 75845, 86080]	[0.0, 0.0, 0.0, 1.0]
Snca	61	18478.503245796	26299.6630169508	86080	[76242, 76116, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Cck	5	18478.503245796	26322.6630169508	86080	[76242, 74703, 76116, 86080]	[0.0, 0.0, 0.0, 1.0]
Grin3a	23	18478.503245796	26449.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Pthlh	48	18478.503245796	26652.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Aldoc	0	18478.503245796	26763.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Gad1	21	18478.503245796	26904.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Nrn1	39	18478.503245796	27014.6630169508	86080	[73619, 73466, 71093, 86080]	[0.0, 0.0, 0.0, 1.0]
Cox6a2	12	18479.503245796	26222.6630169508	86080	[76242, 76116, 76345, 86080]	[0.0, 0.0, 0.0, 1.0]
Cck	5	18479.503245796	26334.6630169508	86080	[74703, 76242, 76116, 86080]	[0.0, 0.0, 0.0, 1.0]
Kit	29	18479.503245796	26382.6630169508	86080	[73619, 74703, 73466, 86080]	[0.0, 0.0, 0.0, 1.0]
Vip	70	18479.503245796	26625.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Slc17a8	59	18479.503245796	26647.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Rgs12	54	18479.503245796	26671.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Kctd12	28	18479.503245796	26689.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Tac2	66	18479.503245796	26715.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Kctd12	28	18479.503245796	26752.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Gabrd	20	18479.503245796	26776.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Pvalb	49	18479.503245796	26828.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Slc17a8	59	18479.503245796	26900.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Kit	29	18479.503245796	27086.6630169508	86080	[73619, 73466, 71093, 86080]	[0.0, 0.0, 0.0, 1.0]
Chodl	7	18479.503245796	27176.6630169508	86080	[73619, 73466, 71093, 86080]	[0.0, 0.0, 0.0, 1.0]
Lhx6	31	18479.503245796	27278.6630169508	86080	[73619, 73466, 71093, 86080]	[0.0, 0.0, 0.0, 1.0]
Hapln1	24	18479.503245796	27290.6630169508	86080	[73619, 73466, 71093, 86080]	[0.0, 0.0, 0.0, 1.0]
Sncg	62	18480.503245796	26308.6630169508	86080	[76242, 74703, 76116, 86080]	[0.0, 0.0, 0.0, 1.0]
Cplx2	13	18480.503245796	26365.6630169508	86080	[73619, 74703, 76242, 86080]	[0.0, 0.0, 0.0, 1.0]
Crh	15	18480.503245796	26376.6630169508	86080	[73619, 74703, 75020, 86080]	[0.0, 0.0, 0.0, 1.0]
Snca	61	18480.503245796	26412.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Rab3c	50	18480.503245796	26470.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Hapln1	24	18480.503245796	26494.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Chrm2	8	18480.503245796	26577.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Tac2	66	18480.503245796	26660.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Crh	15	18480.503245796	26697.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Nov	35	18480.503245796	26710.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Calb2	4	18480.503245796	26728.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Htr3a	25	18480.503245796	26767.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Tac2	66	18480.503245796	26811.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Tac2	66	18480.503245796	26843.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Rab3c	50	18480.503245796	26883.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Pthlh	48	18480.503245796	26928.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Cnr1	9	18480.503245796	26961.6630169508	86080	[73619, 73466, 73144, 86080]	[0.0, 0.0, 0.0, 1.0]
Pthlh	48	18480.503245796	27030.6630169508	86080	[73619, 73466, 71093, 86080]	[0.0, 0.0, 0.0, 1.0]
Bcl11b	1	18480.503245796	27136.6630169508	86080	[73619, 73466, 71093, 86080]	[0.0, 0.0, 0.0, 1.0]
Kctd12	28	18480.503245796	27161.6630169508	86080	[73619, 73466, 71093, 86080]	[0.0, 0.0, 0.0, 1.0]
Pthlh	48	18480.503245796	27322.6630169508	86080	[73619, 73466, 71093, 86080]	[0.0, 0.0, 0.0, 1.0]
Neurod6	33	18481.503245796	26012.6630169508	86080	[76242, 76345, 76116, 86080]	[0.0, 0.0, 0.0, 1.0]
Thsd7a	68	18481.503245796	26061.6630169508	86080	[76242, 76345, 76116, 86080]	[0.0, 0.0, 0.0, 1.0]
Rgs12	54	18481.503245796	26066.6630169508	86080	[76242, 76345, 76116, 86080]	[0.0, 0.0, 0.0, 1.0]
Tac2	66	18481.503245796	26076.6630169508	86080	[76242, 76345, 76116, 86080]	[0.0, 0.0, 0.0, 1.0]
Crh	15	18481.503245796	26189.6630169508	86080	[76242, 76116, 76345, 86080]	[0.0, 0.0, 0.0, 1.0]
Cck	5	18481.503245796	26209.6630169508	86080	[76242, 76116, 76345, 86080]	[0.0, 0.0, 0.0, 1.0]
Cdh13	6	18481.503245796	26234.6630169508	86080	[76242, 76116, 76345, 86080]	[0.0, 0.0, 0.0, 1.0]
Cplx2	13	18481.503245796	26272.6630169508	86080	[76242, 76116, 76345, 86080]	[0.0, 0.0, 0.0, 1.0]
Cxcl14	18	18481.503245796	26287.6630169508	86080	[76242, 76116, 75845, 86080]	[0.0, 0.0, 0.0, 1.0]
Rasgrf2	51	18481.503245796	26441.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Npy	36	18481.503245796	26531.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Reln	52	18481.503245796	26564.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Bcl11b	1	18481.503245796	26587.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Kit	29	18481.503245796	26681.6630169508	86080	[73619, 73466, 74703, 86080]	[0.0, 0.0, 0.0, 1.0]
Rab3c	50	18481.503245796	27005.6630169508	86080	[73619, 73466, 71093, 86080]	[0.0, 0.0, 0.0, 1.0]
Gda	22	18481.503245796	27009.6630169508	86080	[73619, 73466, 71093, 86080]	[0.0, 0.0, 0.0, 1.0]
Cox6a2	12	18481.503245796	27052.6630169508	86080	[73619, 73466, 71093, 86080]	[0.0, 0.0, 0.0, 1.0]
Calb1	3	18481.503245796	27090.6630169508	86080	[73619, 73466, 71093, 86080]	[0.0, 0.0, 0.0, 1.0]
Nos1	34	18481.503245796	27236.6630169508	86080	[73619, 73466, 71093, 86080]	[0.0, 0.0, 0.0, 1.0]
Slc17a8	59	18481.503245796	27255.6630169508	86080	[73619, 73466, 71093, 86080]	[0.0, 0.0, 0.0, 1.0]
